Sub,die,Schwiegermutter,,mother-in-law,Mutter des Ehepartners,Die Schwiegermutter ist sehr nett.
Sub,die,Freude,,Joy,Glück; fröhliches Gefühl,Die Freude über den Sieg war groß.
Sub,die,Fröhlichkeit,,happiness,Zustand des Glücklichseins,Fröhlichkeit ist ansteckend.
Sub,die,Langeweile,,boredom,"Gefühl, wenn nichts interessant ist",An einem regnerischen Tag habe ich oft Langeweile.
Sub,die,Neugier,,curiosity,"Wunsch, Neues zu lernen",Ihre Neugier ist grenzenlos.
Sub,der,Stolz,,Pride,gutes Gefühl über sich selbst oder andere,Er zeigte großen Stolz auf seine Leistung.
Sub,die,Traurigkeit,,sadness,Gefühl des Traurigseins,Die Traurigkeit war ihr anzusehen.
Sub,das,Vertrauen,,Trust,"Glaube, dass jemand zuverlässig ist",Vertrauen ist das Fundament jeder Beziehung.
Sub,die,Wut,,Fury,starkes Gefühl von Ärger,Ihre Wut war nicht zu übersehen.
Verb,,aufwachsen,,grow up,älter werden; groß werden.,Die Kinder werden schnell aufwachsen.
Verb,,beschließen,(+A),decide,sich entscheiden; einen Plan machen.,"Wir haben beschlossen, nach Berlin zu ziehen."
Verb,sich (=A),entschließen,,decide,fest entscheiden,"Er hat sich entschlossen, das Angebot anzunehmen."
Verb,sich (=D),leisten,(+A),afford,etwas schaffen oder machen,Sie kann sich das neue Auto leisten.
Verb,,nennen,(+A),to name,einen Namen geben,Er hat seinen Sohn Paul genannt.
Verb,,stammen aus,(+D),come from,aus einem Ort oder einer Zeit kommen,Sie stammt aus Frankreich.
Verb,,überlegen,(+A),ponder,nachdenken,"Sie überlegt, ob sie den Job annehmen soll."
Verb,,verändern,(+A) sich/etwas,change,anders machen,Sie hat ihre Meinung verändert.
Verb,,zurück gehen,,go back,"wieder dorthin gehen, wo man war",Ich werde später zurück gehen.
Verb,sich(=A),scheiden lassen,(von +D),divorce,die Ehe beenden,Sie haben sich nach zehn Jahren scheiden lassen.
Verb,sich(=A),trennen,(von +D),separate,auseinandergehen,Sie haben sich vor einem Jahr getrennt.
Verb,sich(=A),langweilen,,bored,uninteressant finden,Ich langweile mich heute Nachmittag
